CommunicationID,SenderID,RecipientID,Message,DateSent,Type
1,1,1,"Hi, can we schedule a session for next week?",2024-10-01,"Client"
2,1,1,"Sure! I am available on Wednesday.",2024-10-01,"Trainer"
3,2,2,"I need help with my workout plan.",2024-10-02,"Client"
4,2,2,"I'd be happy to assist you! When are you free?",2024-10-02,"Trainer"
5,3,3,"Can you recommend some nutrition tips?",2024-10-03,"Client"
6,3,3,"Of course! Let's discuss during our next session.",2024-10-03,"Trainer"
7,4,4,"What are your available times for training?",2024-10-04,"Client"
8,4,4,"I am free on Monday and Thursday.",2024-10-04,"Trainer"
9,5,5,"I enjoyed the last session, thank you!",2024-10-05,"Client"
10,5,5,"I'm glad to hear that! Looking forward to our next one.",2024-10-05,"Trainer"
11,6,6,"Can we change our session to Friday?",2024-10-06,"Client"
12,6,6,"Yes, that works for me!",2024-10-06,"Trainer"
13,7,7,"I need to cancel my appointment.",2024-10-07,"Client"
14,7,7,"No problem, let me know when you want to reschedule.",2024-10-07,"Trainer"
15,8,8,"What should I focus on for my fitness goals?",2024-10-08,"Client"
16,8,8,"Let's create a personalized plan for you!",2024-10-08,"Trainer"
17,9,9,"I have some feedback about our last session.",2024-10-09,"Client"
18,9,9,"I appreciate your feedback! How can I improve?",2024-10-09,"Trainer"
19,10,10,"Are there any group sessions available?",2024-10-10,"Client"
20,10,10,"Yes, we have a group class on Saturdays!",2024-10-10,"Trainer"
21,11,11,"Can I get a recap of our last session?",2024-10-11,"Client"
22,11,11,"Sure! I'll send you the details shortly.",2024-10-11,"Trainer"
23,12,12,"What should I do to prepare for our next session?",2024-10-12,"Client"
24,12,12,"Just bring water and be ready to work hard!",2024-10-12,"Trainer"
25,13,13,"I have a question about my nutrition.",2024-10-13,"Client"
26,13,13,"Feel free to ask! I'm here to help.",2024-10-13,"Trainer"
27,14,14,"Thank you for your guidance!",2024-10-14,"Client"
28,14,14,"You're welcome! Happy to help.",2024-10-14,"Trainer"
29,15,15,"Can we do a session at the park?",2024-10-15,"Client"
30,15,15,"Absolutely! Let's meet there.",2024-10-15,"Trainer"
31,16,16,"What are your thoughts on my progress?",2024-10-16,"Client"
32,16,16,"You're doing great! Keep it up!",2024-10-16,"Trainer"
33,17,17,"Can I get some extra materials to study?",2024-10-17,"Client"
34,17,17,"Sure! I'll send you some resources.",2024-10-17,"Trainer"
35,18,18,"I'm looking forward to our next session!",2024-10-18,"Client"
36,18,18,"Me too! Letâ€™s keep the momentum going!",2024-10-18,"Trainer"
37,19,19,"I have a conflict on our usual day.",2024-10-19,"Client"
38,19,19,"No worries! Just let me know your availability.",2024-10-19,"Trainer"
39,20,20,"Can I bring a friend to our session?",2024-10-20,"Client"
40,20,20,"Of course! The more, the merrier!",2024-10-20,"Trainer"
